 57FE  L 0.0							
							
 57FE  L 14.41							
Data set	Eg	Ig (orig.)	Ig (norm.)	Init. Level	Final Level	Mu	MR
1970Gr13	14.408 5		100	14.41	0.0		
1971Ko19		11400 500	100	14.41	0.0		
1972He42	14.41247 29		100	14.41	0.0		
1974Ti01	14.410 6		100	14.41	0.0		
							
 57FE  L 136.47							
Data set	Eg	Ig (orig.)	Ig (norm.)	Init. Level	Final Level	Mu	MR
1965Ki03		100000	100	136.47	14.41		
1965Ma38		100000	100	136.47	14.41		
1970Gr13	122.07 3			136.47	14.41		
1971Ko19	122.06 2	100000	100	136.47	14.41		
1974HeYW		100000	100	136.47	14.41		
1974Ti01	122.063 4			136.47	14.41		
1976Bo16	122.06065 12			136.47	14.41		
1980Sc07		100000	100	136.47	14.41		
1982Gr10		100000	100	136.47	14.41		
							
1965Ki03		12500 800	12.5 8	136.47	0.0		
1965Ma38		12000 100	12.0 1	136.47	0.0		
1970Gr13	136.473 4			136.47	0.0		
1971Ko19	136.47 3	13000 400	13.0 4	136.47	0.0		
1974HeYW		12900 700	12.9 7	136.47	0.0		
1974Ti01	136.473 4			136.47	0.0		
1976Bo16	136.47356 29			136.47	0.0		
1980Sc07		12360 90	12.36 9	136.47	0.0		
1982Gr10		12530 180	12.53 18	136.47	0.0		
							
 57FE  L 366.74							
Data set	Eg	Ig (orig.)	Ig (norm.)	Init. Level	Final Level	Mu	MR
1965Ki03	229.8 10			366.74	136.47		
1965Ma38		0.2 2	10 10	366.74	136.47		
1965Sp06	230.6 6			366.74	136.47		
1970Gr13	230.4 5			366.74	136.47		
1971Ko19	230.4 6	0.5 5	14 14	366.74	136.47		
1974Ti01	230.25 4			366.74	136.47		
1980Ve05	230.29 2			366.74	136.47		
							
1965Ki03	352.5 4			366.74	14.41		
1965Ma38		2.0 2	100 10	366.74	14.41		
1965Sp06	352.4 5			366.74	14.41		
1970Gr13	352.5 3			366.74	14.41		
1971Ko19	352.23 27	3.7 4	100 11	366.74	14.41		
1974Ti01	352.32 3			366.74	14.41		
1980Ve05	352.36 1			366.74	14.41		
							
1965Ki03	366.8 5			366.74	0.0		
1965Ma38		0.7 1	35 5	366.74	0.0		
1965Sp06	366.7 5			366.74	0.0		
1970Gr13	#336.8 4			366.74	0.0		
1971Ko19	367.0 5	1.5 4	41 11	366.74	0.0		
1974Ti01	366.73 4			366.74	0.0		
1980Ve05	366.75 1			366.74	0.0		
							
 57FE  L 706.42							
Data set	Eg	Ig (orig.)	Ig (norm.)	Init. Level	Final Level	Mu	MR
1965Ki03	339.7 4			706.42	366.74		
1965Ma38		2.9 3	1.54 16	706.42	366.74		
1965Sp06	339.7 5			706.42	366.74		
1970Gr13	339.7 3			706.42	366.74		
1971Ko19	339.68 28	4.5 4	2.46 22	706.42	366.74		
1974Ti01	339.60 6			706.42	366.74		
1980Ve05	339.54 18			706.42	366.74		
							
1965Ki03	570.0 4			706.42	136.47		
1965Ma38		16 1	8.51 53	706.42	136.47		
1965Sp06	570.3 4			706.42	136.47		
1970Gr13	570.1 3			706.42	136.47		
1971Ko19	570.04 28	19.4 11	10.6 6	706.42	136.47		
1974HeYW		10 10	5.3 53	706.42	136.47		
1974Ti01	569.93 5			706.42	136.47		
1980Ve05	569.92 4			706.42	136.47		
							
1965Ki03	692.1 3			706.42	14.41		
1965Ma38		188 5	100.0 27	706.42	14.41		
1965Sp06	692.1 3			706.42	14.41		
1970Gr13	692.1 2			706.42	14.41		
1971Ko19	#692.44 6	183 11	100 6	706.42	14.41		
1974HeYW		190 30	100 16	706.42	14.41		
1974Ti01	692.00 3			706.42	14.41		
1980Ve05	692.03 2			706.42	14.41		
							
1965Ki03	706.4 4			706.42	0.0		
1965Ma38		5.5 6	2.93 32	706.42	0.0		
1965Sp06	706.8 4			706.42	0.0		
1970Gr13	706.6 3			706.42	0.0		
1971Ko19	706.46 34	6.2 6	3.39 33	706.42	0.0		
1974Ti01	706.54 22			706.42	0.0		
1980Ve05	706.40 20			706.42	0.0		
